,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
950,950,AnswerAText,\( \sqrt{45} \),MisconceptionAId,1459.0,Recognise when a square root is a surd and when it is not,Which of the following is not a surd?,Does not recognise that a surd will simplify to a whole number and not longer be a surd if the number under the surd is a square number
952,952,AnswerAText,\( 0 \),MisconceptionAId,2355.0,Identify the order of rotational symmetry of a shape,"![This shape is a line drawing of 2 ellipses whose centres, marked with a black dot, are lined up, but one ellipse is at right angles to the other.]() What is the order of rotational symmetry of this shape?",Does not know how to find order of rotational symmetry
953,953,AnswerAText,\( 734 \),MisconceptionAId,672.0,Write a missing term of a descending integer linear sequence,"\begin{tabular}{lclclclc|c|} \hline \(\bigstar\) & \( \;\) & 712 & \( \;\) &  \( \;\)\end{tabular} A descending linear sequence has a constant difference of \( 22 \) and the \( 3^{\text {rd }} \) term is \( 712 \).
What should replace the star?",When asked for a specific term in a sequence gives the next term
954,954,AnswerAText,\( 4196 \),MisconceptionAId,699.0,Subtract integers up to 4 digits using a written method where carrying is needed,\( 4514-328= \),"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit"
955,955,AnswerAText,\( 5 \),MisconceptionAId,1183.0,Interpret continuous data using a line graph,"This graph shows how much a block of ice melted over time. ![A line graph with the x-axis titled ""Time (minutes)"". The x-axis scale is labelled from 0 to 5 in steps of 1 minute.
The y-axis is titled ""Water depth (cm)"" and the scale is labelled from 0 to 12 in steps of 2. The following points are plotted and joined together: (0, 0),(1,1),(2, 3),(3, 6),(4, 9),(5, 10).      
]() What was the difference between the first minute and third minute?",Does not include units in answer.
956,956,AnswerAText,\( 3000 \),MisconceptionAId,852.0,Convert between g and mg,\( 30 \) grams = \(\bigstar \) milligrams What should replace the star?,Thinks there are 100 mg in a gram
957,957,AnswerAText,Only Tom,MisconceptionAId,2038.0,Subtract proper fractions with different denominators which do not share a common factor,"Tom and Katie are discussing how to work out the answer to \( \frac{5}{6}-\frac{1}{3} \)
Tom says you could change both denominators to \( 6 \)
Katie says you could change both denominators to \( 18 \)
Who is correct?",Believes a common denominator can only be the lowest common multiple
959,959,AnswerAText,Jodie is accelerating,MisconceptionAId,2492.0,Interpret horizontal sections of a displacement-time graph,"This graph shows how far Jodie is from home whilst she is out on a walk.
What might the horizontal represent? ![The image is a distance-time graph. The graph is in three sections. The first section starts at (0,0) and is a sloped line with positive gradient. The second section is a horizontal line. The third section is a sloped line with negative gradient that ends when it touches the Time axis.]()",Confuses rest and movement on a distance time graph
961,961,AnswerAText,\( 525 \) minutes,MisconceptionAId,161.0,Convert from hours to minutes,A school trip lasted \( 5 \) hours and \( 25 \) minutes. How long is this in minutes?,Answers as if there are 100 minutes in an hour when changing from hours to minutes
963,963,AnswerAText,![ Long multiplication for 72 multiplied by 36 with incorrect working and incorrect final answer. First row of working is incorrect: 4 2 2. Second row of working is incorrect: 2 7. Final answer is incorrect: 4 4 9.](),MisconceptionAId,1403.0,Multiply 2 digit integers by 2 digit integers using long multiplication,Which working out is correct for $72 \times 36$?,"When two digits multiply to 10 or more during a multiplication problem, does not add carried value to the preceding digit"
964,964,AnswerAText,\( 30 \),MisconceptionAId,2095.0,Interpret a bar chart,"The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Wednesday? ![A dual bar chart showing number of cups of tea and coffee sold Monday to Thursday. On Monday 25 teas and 38 coffees sold, Tuesday 10 teas and 45 coffees, Wednesday 25 teas and 30 coffees, Thursday 43 teas and 40 coffees.]()","When reading graph, chooses nearest marked value on axis instead of reading accurately"
967,967,AnswerAText,\( 0.2975 \ldots \),MisconceptionAId,1631.0,Carry out the first stage in an iteration solution,"\(
x_{n+1}=\sqrt{\frac{1}{x_{n}+11}}
\)

Using a starting value of \( x_{1}=0.6 \), what is the value of \( x_{2} \) ?",When asked for a specific term in a sequence gives the term after
969,969,AnswerAText,"\( 5^{\circ} \mathrm{C} \) is \( 2^{\circ} \mathrm{C} \) 
colder than 
\( -7^{\circ} \mathrm{C} \)",MisconceptionAId,1231.0,Perform calculations with temperature when given in the same units,Which statement about the temperatures \( -7^{\circ} \mathrm{C} \) and \( 5^{\circ} \mathrm{C} \) is true?,Does not know that 7 and -7 are different
971,971,AnswerAText,Decrease \( 50 \) by \( 25 \).,MisconceptionAId,1773.0,Identify command words that mean addition,For which of these questions would you calculate \( 50+25 \) ?,Adds rather than subtracts when answering worded problems
972,972,AnswerAText,\( 32 \),MisconceptionAId,1948.0,Calculate the square of a number,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The middle rectangle has ""square root"" written inside it and the final rectangle has ""output"" written above it and ""16"" written inside it.]() What is the input of this function machine?",Believes the inverse of square rooting is doubling
974,974,AnswerAText,![An incorrect reflection of the given figure. ](),MisconceptionAId,470.0,Complete a symmetric figure with respect to a specific line of symmetry,"Which image completes a symmetric figure on the Geo board? ![A figure drawn in one half of a box, with a red dotted line running diagonally across the box. ]()",Cannot reflect shape when line of symmetry is diagonal 
977,977,AnswerAText,\( 15.983 \),MisconceptionAId,739.0,Round numbers between 0 and 1 to two significant figures,Which of the numbers is the same when rounded to \( 2 \) decimal places or to \( 2 \) significant figures?,Rounds to wrong degree of accuracy (decimal places rather than significant figures)
978,978,AnswerAText,\( 100000 \),MisconceptionAId,223.0,Calculate the cube of a number,\( 100^{3}= \),Mixes up cubing with multiplying by 10
979,979,AnswerAText,\( 1 \),MisconceptionAId,1988.0,Round the elements of a calculation to one significant figure to perform an estimation,"Julie wants to estimate the answer to this calculation by rounding each number to \( 1 \) significant figure.

\[
0.5841 \times 36.3
\]

What number should replace \( \mathbf{0 . 5 8 4 1} \) in her estimation?",Rounds up instead of down
980,980,AnswerAText,Sin,MisconceptionAId,718.0,Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio,Which ratio would you use to find the value of \( \theta \) ? ![A right angled triangle with the two shorter side lengths given as 7cm and 10cm. The length of the longest side of the triangle is not given. The interior angle of the triangle that is opposite the 10cm side is labelled θ.](),Uses sin when tan is required
985,985,AnswerAText,\( 1.166 \),MisconceptionAId,234.0,Carry out missing number subtraction problems where a written method is needed,\(\square\quad -\quad 1.534=2.7 \),Subtracts instead of adds
986,986,AnswerAText,"Only
Tom",MisconceptionAId,1566.0,"Solve two-step linear equations, with the variable on one side, with all positive integers","Tom and Katie are discussing how to solve:
\(
\frac{x-6}{2}=10
\)

Tom says a correct next line of working could be: \( \frac{x}{2}=16 \)
Katie says a correct next line of working could be: \( x-6=5 \)
Who is correct?",Adds or subtracts from numerator first when solving an equation with a fraction
988,988,AnswerAText,\( £ 60: £ 300 \),MisconceptionAId,21.0,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Share \( £360 \) in the ratio \( 2: 7 \),Estimates shares of a ratio instead of calculating
989,989,AnswerAText,\( 86 \mathrm{~m} \),MisconceptionAId,1527.0,Calculate the perimeter of a rectilinear shape by adding lengths expressed in the same units,What is the perimeter of this composite shape made from rectangles? ![A composite shape made from three rectangles that form a step structure.  The base of the shape is horizontal and is 23m long. The vertical height of the whole shape is 22m. The horizontal width of the top part of the shape is 6m. The horizontal width of the first step is 7m. The vertical height of the bottom rectangle is 5m.  The vertical height of the top rectangle is 8m.](),Does not know how to find missing lengths in a composite shape
990,990,AnswerAText,\( 2 \frac{1}{11} \),MisconceptionAId,1173.0,Convert from improper fractions to mixed number fractions,Convert \( \frac{11}{5} \) to a mixed number.,Uses the numerator of an improper fraction as the denominator of the equivalent mixed number
991,991,AnswerAText,\( 10 \mathrm{~cm}^{2} \),MisconceptionAId,1835.0,Calculate the area of a parallelogram where the dimensions are given in the same units,"What is the area of this parallelogram?
 ![Parallelogram with base length 5cm, perpendicular height 4cm, and slant length 6cm.]()",When finding the area of a parallelogram finds base x perpendicular height but divides the answer by 2 
992,992,AnswerAText,\( 0.2 \),MisconceptionAId,619.0,Convert integer percentages with 1 digit to decimals ,How do you write \( 2 \% \) as a decimal?,Divided by 10 rather than 100
994,994,AnswerAText,\( 3.9 \),MisconceptionAId,1272.0,Find the lower bound of a number rounded to 2 decimal places,"A number, \( n \), has been rounded to \( 2 \) decimal places to give \( \mathbf{4 . 0 0} \)
What is the smallest \( n \) can be?",Gives a rounded whole number instead of a decimal
995,995,AnswerAText,\( 60^{\degree} \),MisconceptionAId,355.0,Work out the size of each interior angle in a regular polygon,What is the size of each interior angle in a regular hexagon?,Thinks the interior angle of a regular polygon is 10n
996,996,AnswerAText,\( 60^{\circ} \),MisconceptionAId,927.0,Find missing angles in a parallelogram,What is the size of angle \( q \) ? ![A parallelogram with an angle of 120 degrees in the top left corner find the angle q which is opposite in the bottom right corner of the shape.](),Assumes that opposite angles in a quadrilateral sum to 180 degrees
998,998,AnswerAText,\( c a \),MisconceptionAId,1644.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,"Simplify, if possible:
\[
c+a
\]",Confuses collecting like terms with multiplication
1000,1000,AnswerAText,\( t \),MisconceptionAId,891.0,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{1-t}{t-1} \)",Incorrectly cancels what they believe is a factor in algebraic fractions
1001,1001,AnswerAText,\( 3.51 \),MisconceptionAId,1379.0,Round numbers to two decimal places,What is \( \mathbf{3 . 5 1 6 3} \) rounded to \( 2 \) decimal places?,Rounds down instead of up
1003,1003,AnswerAText,\( 8.25 \),MisconceptionAId,2344.0,Interpret a pictogram involving fractions of symbols,"This pictogram shows the different types of music Bob has in his music collection.

How many Blues CDs does Bob have? ![A pictogram showing the number of CDs Bob has in his musical collection. Pop has 3 and a half symbols, rock has 2 symbols, blues has 2 and a quarter symbols, jazz has 3 and a quarter symbols and classical has 1 and three-quarter symbols. Each symbol represents 4 CDs.]()","When counting partial symbols on pictogram, uses the fraction rather than the amount it represents"
1004,1004,AnswerAText,\( 22 \),MisconceptionAId,329.0,Shade percentages of a shape where the percent is an integer,"How many rectangles would you need to shade so that \( 22 \% \) of this shape is shaded? \begin{tabular}{|l|l|l|l|l|l|l|l|l|l|}
\hline & \(\space\) & \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) & \\
\hline & \(\space\) & \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) & \\
\hline & \(\space\) & \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) & \\
\hline & \(\space\) & \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) & \\
\hline & \(\space\) & \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) &  \(\space\) & \\
\hline
\end{tabular}",Does not understand a percentage is out of 100
1005,1005,AnswerAText,\( 0.5 \),MisconceptionAId,760.0,Convert fractions less than 1 to terminating decimals of 1 decimal place,What is \( \frac{3}{5} \) as a decimal?,Converts a fraction to a decimal by using the denominator after the decimal point
1006,1006,AnswerAText,\( 6 \mathrm{~cm} \),MisconceptionAId,2388.0,"Given the area of a trapezium, calculate a missing dimension","The area of this trapezium is
\(
30 \mathrm{~cm}^{2}
\)
What measurement should replace the star? ![A trapezium with 8cm and a star on the parallel sides, and the perpendicular height is 5cm.]()",Uses formula for area of a parallelogram when finding the area of a trapezium
1011,1011,AnswerAText,"(-3, 3)",MisconceptionAId,2155.0,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object","Which is the correct point for E when reflected in the line \( x=-1 \) ? ![A set of axes: x-axis from -5 to 5, y-axis from -5 to 3. Four points are plotted and joined to make a rectangle: (1,1), (3, 1), (3, 3) and (1,3). Point (3, 3) is labelled with the letter ""E"". ]()","Reflects in an axis, instead of the given mirror line"
1014,1014,AnswerAText,\( 7 \frac{1}{3} \),MisconceptionAId,458.0,For a given output find the input of a function machine,"![Image of a function machine. The function is add one third, and the output is 7]() What is the input of this function machine?",When finding an input of a function machine thinks you apply the operations given rather than the inverse operation.
1015,1015,AnswerAText,always true,MisconceptionAId,557.0,Carry out division  problems involving one negative integer,"\( n \times 5 \geq \frac{n}{5} \) If \( n \) can represent any number, is the statement above...",Assumes a fact without considering enough examples
1017,1017,AnswerAText,\( p<-4 \),MisconceptionAId,2217.0,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,"Solve the inequality:
\(-3>p-1\)",Thinks subtracting a negative makes your answer smaller
1022,1022,AnswerAText,\( 27 \),MisconceptionAId,1025.0,Identify the regions on a double Venn diagram given in words,"\( 60 \) people completed an online survey about the car they own.
The results are shown in the Venn Diagram.

How many people own a \( 4 \times 4 \) ? ![A Venn diagram with two circles labelled Owns a 4x4 and Owns a Black Car. The number 27 is in the Owns a 4x4 only region, 15 is in the intersection, and 8 is in the Owns a Black Car only region]()",Forgets to include the intersection value when asked for total value of a set in a Venn diagram
1023,1023,AnswerAText,\( 7-2 \times 5 \),MisconceptionAId,2532.0,Use brackets to write function machines as calculations,"Here is a function machine ![Input \( \rightarrow-2 \rightarrow\times 5 \rightarrow \) Output]() The input is \( 7 \).
Which calculation gives the correct output?",Believes order of operations does not affect the answer to a calculation
1025,1025,AnswerAText,"\( x=3, \quad y=6 \)",MisconceptionAId,1464.0,Read the graphical solution to a pair of linear simultaneous equations from a diagram,"According to the graph, what are the solutions to the simultaneous equations? ![The image is of a set of axes with two straight lines drawn on. The red line goes through the points (0,6) and (3,0). The blue line goes through the points (0,3) and (6,0)and the two lines cross at (2,2).]()","When solving simultaneous equations graphically, they think the solutions are the y-intercepts"
1026,1026,AnswerAText,"Only
Jo",MisconceptionAId,1690.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,"Jo and Paul are talking about which term could replace the star in this addition pyramid.
Jo says it could be: \( f \)
Paul says it could be: \( g \)
Who is correct? ![A diagram showing 3 rows of boxes. the bottom row has 3 boxes, containing a star, and empty box and 2g from left to right. The next row up contains two boxes, overlapping the joins of the boxes below. The left one contains 4f+6g, the right one is empty. The top row is one box, centered over the join of the two below, it is empty.]()",Assumes an addition pyramid works in a different way to how it actually does
1028,1028,AnswerAText,\( 5 \),MisconceptionAId,110.0,Solve coordinate geometry questions involving quadrilaterals,"What is the height of the rectangle as indicated by the arrow? ![A pair of axes with no labels. 4 points are marked and joined with straight lines to make a rectangle. The top left corner of the rectangle is labelled with co-ordinate (-4,7).  The bottom right corner of the rectangle is labelled with co-ordinate (2,-12). A double-ended vertical arrow spans the height of the rectangle, starting level with (2,-12) and ending level with the corner of the rectangle directly above (2,-12).]()",Does not know how to find the length of a line segment from coordinates
1030,1030,AnswerAText,Only Tom,MisconceptionAId,1715.0,Convert fractions less than 1 to terminating decimals of 2 decimal places,"Tom and Katie are discussing fractions, decimals and percentages. Tom says \( \frac{11}{50}=0.11 \) Katie says \( \frac{11}{50}=22 \% \) Who is correct?",Converts a fraction to a decimal by using only the numerator after the decimal point
1031,1031,AnswerAText,\( 0 \),MisconceptionAId,1155.0,Divide integers of 3 or more digits using long division,"When using long-division to solve this problem, what digit should replace the rectangle to give the correct answer (quotient)? ![Division sum written out in Bus Stop format with dividend = 735, divisor = 3, the digits of the quotient are represented by a yellow star, a purple triangle and a blue rectangle.]()",Starts at the wrong end of the dividend when dividing
1032,1032,AnswerAText,\( 27 \),MisconceptionAId,1507.0,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",\( 5+4 \times 3= \),Carries out operations from left to right regardless of priority order
1034,1034,AnswerAText,"![A number line from 0 to 10000 with the value 857 incorrectly labelled, with an arrow, between the midpoint and 10000]()",MisconceptionAId,1957.0,Place or identify the location of an integer between 100 and 1000 on a number line,Which number line shows a good estimate for the position of the number shown?,"Reads 10,000 as 1000"
1035,1035,AnswerAText,\( 2-3 p \),MisconceptionAId,583.0,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\(
-(2-3 p)
\)",Ignores negative sign when expanding bracket
1036,1036,AnswerAText,\( 3 \mathrm{~cm} \),MisconceptionAId,590.0,Calculate the volume of a triangular-based prism when the dimensions are given in the same units,"Which of the three marked lengths is not needed when calculating the volume of this shape? ![A triangular prism with length 6cm. The triangular face is a right-angled triangle with base 4cm, height 3cm and longest edge 5cm. ]()",Has used slant height and base to find area of a triangle rather than perpendicular height and base
1037,1037,AnswerAText,\( 4 \),MisconceptionAId,2138.0,Calculate percentage of an amount mentally where the percent is an integer,What is \( 4 \% \) of \( 200 ? \),Does not understand a percentage can be applied to something not out of 100
1038,1038,AnswerAText,\( 10 \times 5 \times 24 \),MisconceptionAId,950.0,Convert from weeks to hours,Which one of the following calculations would work out the number of hours in \( 10 \) weeks?,Thinks there are 5 days in a week
1039,1039,AnswerAText,"\( (-6,-4) \)",MisconceptionAId,110.0,Can calculate missing coordinates in a geometric shape,"Here are \( 3 \) vertices of a rectangle:
\((-6,-2),(-3,2),(0,0) \text {, }\)

What are the coordinates of the \( 4^{\text {th }} \) vertex?",Does not know how to find the length of a line segment from coordinates
1041,1041,AnswerAText,\( 60 \),MisconceptionAId,2149.0,Convert from seconds to hours,How many hours is \( 3600 \) seconds?,Converted seconds to minutes instead of seconds to hours
1042,1042,AnswerAText,"Only
Tom",MisconceptionAId,783.0,Solve quadratic equations using factorisation in the form (px + a)(qx + b) ,"Tom and Katie are discussing how to solve this quadratic equation:
\(
(5 x+2)(2 x-5)=0
\)

Tom says one solution is: \( x=\frac{2}{5} \)

Katie says one solution is: \( x=-\frac{5}{2} \)

Who is correct?",Thinks the sign of solutions in a quadratic equation is always the same as the constant term
1044,1044,AnswerAText,\( 360^{\degree} \),MisconceptionAId,28.0,Work out the sum of the interior angles in polygons,What do all the interior angles of this shape add up to? ![Irregular hexagon](),Thinks the interior angles of any polygon add up to 360
1045,1045,AnswerAText,Sin,MisconceptionAId,1738.0,Identify questions involving a 2D right-angled triangle that require the use of the Cosine (cos) ratio,Which ratio would you use to find the value of \( \theta \) ? ![A right angled triangle with the longest side labelled 10cm. The base of the triangle is 6cm. The angle made between the 6cm and 10cm sides is labelled as θ.](),Uses sin when cos is required
1046,1046,AnswerAText,\( 2 \),MisconceptionAId,1394.0,Carry out the first stage in an iteration solution,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the value of \( x_{2} \) ?
",Identifies the first term rather than the next term in a sequence
1047,1047,AnswerAText,\( 0 \),MisconceptionAId,2500.0,"Given a line segment, calculate the gradient where the gradient is a positive integer","What is the gradient of this line? ![A set of axes with a graph drawn on. The graph passes through the points (0,0) and (1,2)]()",Believes the gradient of a line is given by an intercept
1049,1049,AnswerAText,\( 3 \),MisconceptionAId,2585.0,Expand products of three binomials in the form (x + a)(x + b)(x + c),"When Aneesa expands these brackets, how many terms should she get after she simplifies? \( (p+3)(p+4)(p+5) \)",Believes a cubic expression should have three terms
1050,1050,AnswerAText,\( 2(9 a-6) \),MisconceptionAId,1262.0,Factorise a single bracket containing a linear expression by taking out a single numeric common factor (e.g. 6),Factorise fully \( 18 a-12 \),"Believes that they can fully factorise an expression by taking out any common factor, not just the HCF"
1051,1051,AnswerAText,\( 0 \),MisconceptionAId,1876.0,Round numbers to an appropriate degree to estimate the answer to a calculation,"When estimating the answer to a complicated problem involving \( 0.0584 \), you should instead use...",Counts leading zero as a significant figure
1055,1055,AnswerAText,\( \frac{4}{9} \),MisconceptionAId,217.0,Add proper fractions with different denominators which do not share a common factor,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark? ![Fractions 3/5 and 1/4 in two separate circles, both linked to a third circle above.]()","When adding fractions, adds the numerators and denominators"
1056,1056,AnswerAText,\( 16.75 \),MisconceptionAId,2252.0,"Given a term in an ascending integer linear sequence, use the nth term rule to find its position in that sequence",Here are the first \( 4 \) terms of a sequence \( \begin{array}{lllll}11 & 15 & 19 & 23 & \ldots\end{array} \) What position in the sequence is the number \( 67 \) ?,Believes you multiply the constant difference by the term number to get the term value
1058,1058,AnswerAText,"\( (3,3) \)",MisconceptionAId,2465.0,"Reflect an object or a point in a diagonal line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object","A point, \( Q \), has coordinates \( (-3,3) \)
The point is reflected in the line \( y=-x \)
What are the new coordinates of point \( Q \) ?",Believes reflection in y = -x changes sign of x coordinate only
1060,1060,AnswerAText,Parallel,MisconceptionAId,114.0,"Understand the terms equilateral and regular, and recognise the notation for regular polygons","The dashes on the sides tell us that this is a \(__________\) polygon

What word completes the sentence? ![A shape with five equal sides. Each side has a small dash through the middle.]()",Does not know the meaning of the word parallel
1062,1062,AnswerAText,\( 200 \),MisconceptionAId,1764.0,Interpret and carry out mental division using a bar model,"Find the value of \( P \). ![Horizontal green bar divided into 5 equal sections. Each section is labelled with a ""P"". Curly bracket shows that 3 of the sections sum to 615.]()",Estimated when not appropriate
1063,1063,AnswerAText,\( 4 \),MisconceptionAId,1558.0,"Given an x value, find the corresponding y value from a non-linear graph","Here is the graph of
\(
y=\frac{4}{x}
\)

What is the value of \( y \) when \( x=-1 \) ? ![A graph with two curves. Y axis from -5 to 5 and x axis from -5 to 5 marked in increments of 1.  One curve is in the positive x, positive y quadrant. It starts at the top close to the line x = 1, as we move right it drops very quickly towards the x axis then levels off to travel almost parallel to the line y =1. It goes through (1, 4) (2,2) and (4,1).  One curve is in the negative x negative y quadrant. It starts at the top left of the quadrant almost parallel to y = -1, then we move right and it curves downwards towards the y axis then levels off to travel almost parallel to the x = -1 line. It goes through (-4, -1) (-2, -2) and (-1,-4)]()",Believes dividing a positive by a negative gives a positive answer
1065,1065,AnswerAText,\( x=-2 \),MisconceptionAId,2113.0,Recognise the equations of horizontal lines from a diagram,"What is the equation of this line? ![The diagram shows a pair of axes, x and y ranging from -6 to 5 horizontally and -3 to 4 vertically. There is a horizontal line that passes through the y axis at -2. ]()",Confuses the equations of vertical and horizontal lines
1066,1066,AnswerAText,Equation,MisconceptionAId,553.0,Recognise and name an identity,"Which of the following is the most appropriate name for this:
\(p-3 \equiv-(3-p)\)",Confuses an equation with an identity
1068,1068,AnswerAText,\( x^{3}-8 \),MisconceptionAId,1872.0,Expand products of three binomials in the form (x + a)(x + b)(x + c),Which of the following answers shows a correct expansion of the expression below? \( (x-2)^{3} \),Believes they only need to multiply the first and last pairs of terms when expanding double brackets
1069,1069,AnswerAText,Only Tom,MisconceptionAId,2048.0,"For a given algebraic input, find the output of a function machine","Tom and Katie are discussing the output of this 2-step function machine ![A two step function machine with x as the input. The first functions is x5 and the second function says 'subtracted from 8'. The output is blank.]() Tom says the output is \( \mathbf{5} \boldsymbol{x}-\mathbf{8} \)

Katie says the output is \( \mathbf{8}-\mathbf{5} \boldsymbol{x} \)

Who is correct?",Has not noticed the difference between 'subtract' and 'subtract from'
1070,1070,AnswerAText,\( -26 \),MisconceptionAId,2185.0,Carry out addition problems involving one negative integer,"Jamie is counting up in threes. He starts at \( -14 \).

What is the \( 5^{\text {th }} \) number he says?",Believes negative numbers with a larger absolute value are greater
1072,1072,AnswerAText,\( 15^{\circ} \),MisconceptionAId,1188.0,Use a protractor to measure angles between 90° and 180°,What is the size of this angle? ![An image of a protractor. There is a red line going from the middle to 0/180 and another line from the middle to in between 160/20 and 170/10. ](),Reads the wrong scale on the protractor when measuring obtuse angles
1074,1074,AnswerAText,\( 6 \),MisconceptionAId,91.0,Identify factors of algebraic expressions,Which of the following is a factor of: \( 6 n^{2}-9 \),"When asked for factors of an algebraic expression, thinks any part of a term will be a factor"
1079,1079,AnswerAText,\( 8 \),MisconceptionAId,2248.0,Calculate the square root of a number,What is the square root of sixteen?,Halves when asked to find the square root
1083,1083,AnswerAText,\( \bigcirc=+1 \),MisconceptionAId,2143.0,Expand two brackets with linear terms in the form (x + a)(x + b),"What should replace the circle when these two brackets are expanded and simplified?
\(
(p+5)(p-4) \equiv p^{2} \triangle p \bigcirc
\)",Adds instead of multiplying when expanding bracket
1084,1084,AnswerAText,\( 876.099 \),MisconceptionAId,228.0,Find 100 less than a given number,"What number is \( 100 \) less than \( 876,099 ? \)",Divides rather than subtracts when given the command 'less than'
1085,1085,AnswerAText,\( 50.009 \),MisconceptionAId,539.0,Divide two decimals with a different number of decimal places,\( 50.09 \div 0.1= \),Does not understand the value of zeros as placeholders
1086,1086,AnswerAText,\( 6 \),MisconceptionAId,767.0,Change decimals of hours into minutes,\( 0.6 \) hours \( = _____\) minutes,Thinks there are 10 minutes in an hour
1087,1087,AnswerAText,\( 290^{\circ} \),MisconceptionAId,415.0,Find missing angles using angles around a point,"What is the size of angle \( x \) ? ![Angles around a point split into two parts, one is labelled 290 degrees and the other x]()",Incorrectly identifies angles as vertically opposite
1088,1088,AnswerAText,\( \begin{array}{l}x=10 \\ y=2\end{array} \),MisconceptionAId,2487.0,Identify pairs of numbers that satisfy an equation with two unknowns ,"\[
x+y=8
\]
Which pair of numbers fits the equation?",Changes the given operation when substituting
1090,1090,AnswerAText,\( 5 x+5 y \),MisconceptionAId,1380.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,"Simplify the following expression by collecting
like terms
\(6 x-2 y-x+3 y\)","When collecting like terms, assigns positivity or negativity incorrectly."
1091,1091,AnswerAText,\( 2 k^{2} \),MisconceptionAId,1380.0,Simplify algebraic expressions to maintain equivalence by collecting like terms involving non-linear variables,Simplify the following by collecting like terms. \( \frac{2}{3} k^{2}+\frac{1}{6} k^{2}-\frac{1}{3} k^{2}+\frac{5}{6} k^{2} \),"When collecting like terms, assigns positivity or negativity incorrectly."
1092,1092,AnswerAText,\( 0.22 \),MisconceptionAId,2426.0,Calculate the median as an average from an even numbered list of data,"What is the median of the following numbers?
\[
2, \quad 0.2, \quad 0.02, \quad 0.002
\]",When finding the median from a even dataset does not understand we must find the midpoint of the two values in the middle
1097,1097,AnswerAText,\( 4 \),MisconceptionAId,2376.0,Generate an ascending integer linear sequence from the nth term rule,"What is the first term of the sequence given by this rule:
\[
4 n+3
\]","When finding the nth term of a linear sequence, thinks the the first term is the coefficient in front of n."
1098,1098,AnswerAText,\( \frac{12}{9 x-1} \),MisconceptionAId,363.0,Divide algebraic fractions involving non-linear expressions,"STEP \( 3 \)

Which of the options is the final answer, expressed as simply as possible?
\(
\begin{aligned}
& \frac{3 x+1}{3} \div \frac{9 x^{2}-1}{12} \\
= & \frac{3 x+1}{3} \times \frac{12}{9 x^{2}-1} \\
= & \frac{3 x+1}{3} \times \frac{12}{(3 x-1)(3 x+1)}
\end{aligned}
\)",Only applies a division to one of multiple terms in a numerator when simplifying an algebraic fraction
1102,1102,AnswerAText,"\( 1^{\text {st }} \) Tuna
\( 2^{\text {nd }} \) Ling
\( 3^{\text {rd }} \) Ray",MisconceptionAId,2237.0,Order negative decimals with the same number of digits,"Here are the depths below sea level of \( 3 \) creatures:
Tuna: \( -2.6 m \)
Ray: \( -6 m \)
Ling: \( -1.5 \mathrm{~m} \)
Arrange their depths in ascending order, starting with the deepest","Thinks the more digits a number has the greater it is, regardless of place value"
1104,1104,AnswerAText,\( 2 \),MisconceptionAId,377.0,Calculate the mean as an average from a list of data,"What is the mean of this set of data?
\[
5, \quad 2, \quad 0, \quad 2, \quad 3
\]","When asked for the mean of a list of data, gives the mode"
1105,1105,AnswerAText,"\(a \Rightarrow \times2  \Rightarrow -5\Rightarrow 2a-5\) 

\(a \Rightarrow \times2  \Rightarrow -5\Rightarrow 2(a-5)\) ",MisconceptionAId,77.0,"For a given algebraic input, find the output of a function machine",Which of the following pairs of function machines are correct?,"Does not follow the arrows through a function machine, changes the order of the operations asked."
